,team_short_display_name,team_uid,team_alternate_color,team_color,team_display_name,team_name,team_logo,team_location,team_id,team_abbreviation,team_slug,field_goals_made_field_goals_attempted,field_goal_pct,three_point_field_goals_made_three_point_field_goals_attempted,three_point_field_goal_pct,free_throws_made_free_throws_attempted,free_throw_pct,total_rebounds,offensive_rebounds,defensive_rebounds,team_rebounds,assists,steals,blocks,turnovers,team_turnovers,total_turnovers,technical_fouls,total_technical_fouls,flagrant_fouls,fouls,largest_lead,home_away,opponent_id,opponent_name,opponent_mascot,opponent_abbrev,game_id,season,season_type,game_date
1261,Tennessee,s:40~l:41~t:2633,ffffff,EE9627,Tennessee Volunteers,Volunteers,https://a.espncdn.com/i/teamlogos/ncaa/500/2633.png,Tennessee,2633,TENN,tennessee-volunteers,34-64,53.1,6-18,33.3,22-26,84.6,45,11,34,0,25,5,7,9,0,9,0,0,0,23,49.0,AWAY,61,Georgia,Bulldogs,UGA,401082982,2019,2,2019-01-05
1262,Tennessee,s:40~l:41~t:2633,ffffff,EE9627,Tennessee Volunteers,Volunteers,https://a.espncdn.com/i/teamlogos/ncaa/500/2633.png,Tennessee,2633,TENN,tennessee-volunteers,31-58,53.4,7-19,36.8,18-21,85.7,38,11,27,0,12,5,6,11,0,11,1,1,0,19,24.0,HOME,142,Missouri,Tigers,MIZ,401082983,2019,2,2019-01-09
1264,Tennessee,s:40~l:41~t:2633,ffffff,EE9627,Tennessee Volunteers,Volunteers,https://a.espncdn.com/i/teamlogos/ncaa/500/2633.png,Tennessee,2633,TENN,tennessee-volunteers,29-55,52.7,9-23,39.1,11-14,78.6,36,10,26,0,15,7,3,13,1,13,0,0,0,19,11.0,HOME,57,Florida,Gators,FLA,401082984,2019,2,2019-01-12
1267,Tennessee,s:40~l:41~t:2633,ffffff,EE9627,Tennessee Volunteers,Volunteers,https://a.espncdn.com/i/teamlogos/ncaa/500/2633.png,Tennessee,2633,TENN,tennessee-volunteers,30-57,52.6,11-18,61.1,35-39,89.7,34,12,22,0,19,9,3,17,0,17,0,0,0,17,30.0,AWAY,8,Arkansas,Razorbacks,ARK,401082985,2019,2,2019-01-16
1269,Tennessee,s:40~l:41~t:2633,ffffff,EE9627,Tennessee Volunteers,Volunteers,https://a.espncdn.com/i/teamlogos/ncaa/500/2633.png,Tennessee,2633,TENN,tennessee-volunteers,29-61,47.5,6-16,37.5,19-26,73.1,33,11,22,0,19,10,5,16,0,16,0,0,0,19,21.0,AWAY,277,West Virginia,Mountaineers,WVU,401082986,2019,2,2019-01-26
1270,Tennessee,s:40~l:41~t:2633,ffffff,EE9627,Tennessee Volunteers,Volunteers,https://a.espncdn.com/i/teamlogos/ncaa/500/2633.png,Tennessee,2633,TENN,tennessee-volunteers,36-64,56.3,7-19,36.8,13-20,65.0,39,13,26,0,17,8,4,10,0,10,0,0,0,20,22.0,HOME,2579,South Carolina,Gamecocks,SC,401082987,2019,2,2019-01-29
1272,Tennessee,s:40~l:41~t:2633,ffffff,EE9627,Tennessee Volunteers,Volunteers,https://a.espncdn.com/i/teamlogos/ncaa/500/2633.png,Tennessee,2633,TENN,tennessee-volunteers,40-62,64.5,9-20,45.0,4-4,100.0,33,6,27,0,28,5,5,8,0,8,1,1,0,14,19.0,HOME,245,Texas A&M,Aggies,TA&M,401082988,2019,2,2019-02-03
1274,Tennessee,s:40~l:41~t:2633,ffffff,EE9627,Tennessee Volunteers,Volunteers,https://a.espncdn.com/i/teamlogos/ncaa/500/2633.png,Tennessee,2633,TENN,tennessee-volunteers,24-59,40.7,7-25,28.0,14-18,77.8,26,9,17,0,11,4,1,9,0,9,0,0,0,25,2.0,HOME,96,Kentucky,Wildcats,UK,401082991,2019,2,2019-02-17
1275,Kentucky,s:40~l:41~t:96,ffffff,005DAA,Kentucky Wildcats,Wildcats,https://a.espncdn.com/i/teamlogos/ncaa/500/96.png,Kentucky,96,UK,kentucky-wildcats,29-53,54.7,5-13,38.5,23-33,69.7,39,12,27,0,14,6,6,11,1,11,0,0,0,15,24.0,AWAY,2633,Tennessee,Volunteers,TENN,401082991,2019,2,2019-02-17
1276,Tennessee,s:40~l:41~t:2633,ffffff,EE9627,Tennessee Volunteers,Volunteers,https://a.espncdn.com/i/teamlogos/ncaa/500/2633.png,Tennessee,2633,TENN,tennessee-volunteers,30-67,44.8,8-22,36.4,12-16,75.0,43,13,30,0,10,4,3,14,0,14,0,0,0,22,9.0,HOME,99,LSU,Tigers,LSU,401082992,2019,2,2019-02-23
1278,Tennessee,s:40~l:41~t:2633,ffffff,EE9627,Tennessee Volunteers,Volunteers,https://a.espncdn.com/i/teamlogos/ncaa/500/2633.png,Tennessee,2633,TENN,tennessee-volunteers,29-56,51.8,3-13,23.1,12-16,75.0,32,4,28,0,16,7,3,9,0,9,0,0,0,14,8.0,HOME,145,Ole Miss,Rebels,MISS,401082993,2019,2,2019-02-28
1280,Kentucky,s:40~l:41~t:96,ffffff,005DAA,Kentucky Wildcats,Wildcats,https://a.espncdn.com/i/teamlogos/ncaa/500/96.png,Kentucky,96,UK,kentucky-wildcats,14-44,31.8,5-19,26.3,19-29,65.5,39,9,30,0,11,3,5,17,1,17,1,1,0,16,6.0,HOME,2633,Tennessee,Volunteers,TENN,401082994,2019,2,2019-03-02
1281,Tennessee,s:40~l:41~t:2633,ffffff,EE9627,Tennessee Volunteers,Volunteers,https://a.espncdn.com/i/teamlogos/ncaa/500/2633.png,Tennessee,2633,TENN,tennessee-volunteers,27-62,43.5,8-22,36.4,9-14,64.3,36,8,28,0,15,8,5,5,0,5,0,0,0,22,20.0,AWAY,96,Kentucky,Wildcats,UK,401082994,2019,2,2019-03-02
1283,Tennessee,s:40~l:41~t:2633,ffffff,EE9627,Tennessee Volunteers,Volunteers,https://a.espncdn.com/i/teamlogos/ncaa/500/2633.png,Tennessee,2633,TENN,tennessee-volunteers,26-61,42.6,6-23,26.1,13-17,76.5,44,15,29,0,17,12,8,15,0,15,0,0,0,13,23.0,AWAY,344,Mississippi State,Bulldogs,MSST,401082995,2019,2,2019-03-06
1284,Tennessee,s:40~l:41~t:2633,ffffff,EE9627,Tennessee Volunteers,Volunteers,https://a.espncdn.com/i/teamlogos/ncaa/500/2633.png,Tennessee,2633,TENN,tennessee-volunteers,29-61,47.5,9-28,32.1,13-16,81.3,39,15,24,0,14,3,3,13,2,13,0,0,0,18,11.0,HOME,2,Auburn,Tigers,AUB,401082996,2019,2,2019-03-09
1285,Auburn,s:40~l:41~t:2,f1f2f3,03244d,Auburn Tigers,Tigers,https://a.espncdn.com/i/teamlogos/ncaa/500/2.png,Auburn,2,AUB,auburn-tigers,26-56,46.4,13-34,38.2,19-24,79.2,27,7,20,0,16,11,3,5,0,5,0,0,0,16,6.0,AWAY,2633,Tennessee,Volunteers,TENN,401082996,2019,2,2019-03-09
1317,Texas Tech,s:40~l:41~t:2641,231f20,C80025,Texas Tech Red Raiders,Red Raiders,https://a.espncdn.com/i/teamlogos/ncaa/500/2641.png,Texas Tech,2641,TTU,texas-tech-red-raiders,22-43,51.2,10-19,52.6,13-19,68.4,25,6,19,0,14,5,4,21,3,21,0,0,0,21,12.0,AWAY,8,Arkansas,Razorbacks,ARK,401083012,2019,2,2019-01-26
1327,Auburn,s:40~l:41~t:2,f1f2f3,03244d,Auburn Tigers,Tigers,https://a.espncdn.com/i/teamlogos/ncaa/500/2.png,Auburn,2,AUB,auburn-tigers,26-54,48.1,17-33,51.5,10-20,50.0,42,9,33,0,16,11,6,20,0,20,0,0,0,24,32.0,AWAY,8,Arkansas,Razorbacks,ARK,401083017,2019,2,2019-02-21
1331,Kentucky,s:40~l:41~t:96,ffffff,005DAA,Kentucky Wildcats,Wildcats,https://a.espncdn.com/i/teamlogos/ncaa/500/96.png,Kentucky,96,UK,kentucky-wildcats,21-42,50.0,6-13,46.2,22-32,68.8,40,9,31,0,12,4,7,15,0,15,0,0,0,19,6.0,AWAY,8,Arkansas,Razorbacks,ARK,401083019,2019,2,2019-02-27
1356,Auburn,s:40~l:41~t:2,f1f2f3,03244d,Auburn Tigers,Tigers,https://a.espncdn.com/i/teamlogos/ncaa/500/2.png,Auburn,2,AUB,auburn-tigers,25-61,41.0,7-25,28.0,20-26,76.9,34,11,23,0,9,7,4,12,0,12,0,0,0,22,3.0,HOME,2579,South Carolina,Gamecocks,SC,401083033,2019,2,2019-01-22
1363,Kentucky,s:40~l:41~t:96,ffffff,005DAA,Kentucky Wildcats,Wildcats,https://a.espncdn.com/i/teamlogos/ncaa/500/96.png,Kentucky,96,UK,kentucky-wildcats,25-61,41.0,5-16,31.3,21-27,77.8,50,21,29,0,11,11,1,14,0,14,0,0,0,17,29.0,AWAY,2579,South Carolina,Gamecocks,SC,401083036,2019,2,2019-02-06
1365,Tennessee,s:40~l:41~t:2633,ffffff,EE9627,Tennessee Volunteers,Volunteers,https://a.espncdn.com/i/teamlogos/ncaa/500/2633.png,Tennessee,2633,TENN,tennessee-volunteers,34-69,49.3,9-20,45.0,8-8,100.0,40,13,27,0,22,5,7,10,0,10,0,0,0,10,19.0,AWAY,2579,South Carolina,Gamecocks,SC,401083037,2019,2,2019-02-13
1401,Auburn,s:40~l:41~t:2,f1f2f3,03244d,Auburn Tigers,Tigers,https://a.espncdn.com/i/teamlogos/ncaa/500/2.png,Auburn,2,AUB,auburn-tigers,33-69,47.8,16-41,39.0,10-16,62.5,39,11,28,0,20,5,5,9,0,9,0,0,0,20,34.0,AWAY,142,Missouri,Tigers,MIZ,401083055,2019,2,2019-01-31
1406,Kentucky,s:40~l:41~t:96,ffffff,005DAA,Kentucky Wildcats,Wildcats,https://a.espncdn.com/i/teamlogos/ncaa/500/96.png,Kentucky,96,UK,kentucky-wildcats,20-42,47.6,7-19,36.8,19-22,86.4,28,6,22,0,10,3,3,14,2,14,0,0,0,16,20.0,HOME,142,Missouri,Tigers,MIZ,401083058,2019,2,2019-02-20
1443,Kentucky,s:40~l:41~t:96,ffffff,005DAA,Kentucky Wildcats,Wildcats,https://a.espncdn.com/i/teamlogos/ncaa/500/96.png,Kentucky,96,UK,kentucky-wildcats,26-59,44.1,8-16,50.0,16-22,72.7,43,15,28,0,14,8,8,16,0,16,0,0,0,17,21.0,AWAY,344,Mississippi State,Bulldogs,MSST,401083076,2019,2,2019-01-23
1444,Auburn,s:40~l:41~t:2,f1f2f3,03244d,Auburn Tigers,Tigers,https://a.espncdn.com/i/teamlogos/ncaa/500/2.png,Auburn,2,AUB,auburn-tigers,26-49,53.1,11-21,52.4,21-23,91.3,29,6,23,0,12,7,3,19,0,19,1,1,0,20,7.0,HOME,344,Mississippi State,Bulldogs,MSST,401083077,2019,2,2019-01-27
1450,Kentucky,s:40~l:41~t:96,ffffff,005DAA,Kentucky Wildcats,Wildcats,https://a.espncdn.com/i/teamlogos/ncaa/500/96.png,Kentucky,96,UK,kentucky-wildcats,27-57,47.4,7-18,38.9,10-17,58.8,35,11,24,0,13,4,4,9,0,9,1,1,0,18,18.0,HOME,344,Mississippi State,Bulldogs,MSST,401083080,2019,2,2019-02-09
1455,Auburn,s:40~l:41~t:2,f1f2f3,03244d,Auburn Tigers,Tigers,https://a.espncdn.com/i/teamlogos/ncaa/500/2.png,Auburn,2,AUB,auburn-tigers,24-51,47.1,13-30,43.3,19-23,82.6,21,1,20,0,16,9,4,10,1,10,0,0,0,16,19.0,AWAY,344,Mississippi State,Bulldogs,MSST,401083082,2019,2,2019-03-02
1464,Baylor,s:40~l:41~t:239,ffb81c,004834,Baylor Bears,Bears,https://a.espncdn.com/i/teamlogos/ncaa/500/239.png,Baylor,239,BAY,baylor-bears,25-54,46.3,2-18,11.1,18-22,81.8,31,8,23,0,11,7,3,18,0,18,0,0,0,27,2.0,HOME,145,Ole Miss,Rebels,MISS,401083087,2019,2,2018-11-24
1480,Auburn,s:40~l:41~t:2,f1f2f3,03244d,Auburn Tigers,Tigers,https://a.espncdn.com/i/teamlogos/ncaa/500/2.png,Auburn,2,AUB,auburn-tigers,22-67,32.8,14-39,35.9,9-17,52.9,37,16,21,0,11,6,6,16,1,16,1,1,0,24,0.0,HOME,145,Ole Miss,Rebels,MISS,401083095,2019,2,2019-01-10
1493,Auburn,s:40~l:41~t:2,f1f2f3,03244d,Auburn Tigers,Tigers,https://a.espncdn.com/i/teamlogos/ncaa/500/2.png,Auburn,2,AUB,auburn-tigers,16-49,32.7,5-20,25.0,18-23,78.3,34,12,22,0,7,6,4,14,0,14,0,0,0,16,1.0,AWAY,145,Ole Miss,Rebels,MISS,401083101,2019,2,2019-02-14
