team_id,team_name,pace_rating,pace_rank,ESPN_conference_id,conference_name,kenpom_name,Tempo,AdjTempo,RankTempo,RankAdjTempo
66,Iowa State,7.691487144100604,258,8,Big 12,Iowa St.,67.2461,66.2847,225,226
2351,LMU,7.680123445567491,259,29,WCC,Loyola Marymount,67.4213,65.8704,216,249
159,Dartmouth,7.669535936180869,260,12,Ivy League,Dartmouth,66.3531,64.6699,270,310
2309,Kent State,7.6633693593449195,261,14,MAC,Kent St.,67.3531,66.0335,219,243
2711,W Michigan,7.655647107728067,262,14,MAC,Western Michigan,66.1625,64.0414,275,331
50,Florida A&M,7.654678425794896,263,26,SWAC,Florida A&M,66.8225,65.4785,253,264
2405,Monmouth,7.646253298494189,264,13,MAAC,Monmouth,67.1183,66.1775,236,234
2210,Elon,7.6442013456133315,265,10,CAA,Elon,66.9821,65.7876,244,253
27,UC Riverside,7.640933476750725,266,9,Big West,UC Riverside,65.2891,65.3236,316,271
2628,TCU,7.63849751178686,267,8,Big 12,TCU,67.2198,65.9267,228,246
257,Richmond,7.6242513522496935,268,3,A10,Richmond,67.3783,66.8295,218,197
130,Michigan,7.623287940638416,269,7,Big 10,Michigan,67.4537,66.6947,212,203
344,Mississippi St,7.6202251239490355,270,23,SEC,Mississippi St.,66.6199,65.6369,262,259
2751,Wyoming,7.60683742486863,271,44,MWC,Wyoming,66.0907,66.0688,279,239
2239,CSU Fullerton,7.581827283528066,272,9,Big West,Cal St. Fullerton,66.4492,66.0515,267,242
42,Hartford,7.57666593606973,273,1,American East,Hartford,67.0995,67.2301,238,174
2181,Drake,7.570627173364436,274,18,MVC,Drake,66.0343,66.2492,281,228
2612,Saint Peter's,7.561301122726688,275,13,MAAC,Saint Peter's,66.7851,65.8972,255,247
2900,St Thomas (MN),7.540386319773074,276,49,Summit League,St. Thomas,66.9889,65.2645,243,275
16,Sacramento St,7.525979469561707,277,5,Big Sky,Sacramento St.,66.1491,64.2519,278,324
2193,ETSU,7.524460076660888,278,24,Southern,East Tennessee St.,65.9795,65.3041,285,272
2115,C Connecticut,7.517163116513638,279,19,Northeast,Central Connecticut,66.1917,64.5939,273,315
2413,Morehead State,7.498031475971176,280,20,OVC,Morehead St.,65.9438,64.7721,286,301
275,Wisconsin,7.483960319274078,281,7,Big 10,Wisconsin,66.9947,66.4888,242,215
2439,UNLV,7.469745766768833,282,44,MWC,UNLV,66.5992,66.2342,264,230
236,Chattanooga,7.461360284374989,283,24,Southern,Chattanooga,65.5072,64.7487,307,304
87,Notre Dame,7.457624578574325,284,2,ACC,Notre Dame,65.7995,65.6431,295,258
24,Stanford,7.436806604560815,285,21,PAC-12,Stanford,66.8121,65.8104,254,252
228,Clemson,7.419858555280233,286,2,ACC,Clemson,66.6501,66.256,259,227
201,Oklahoma,7.401897490586339,287,8,Big 12,Oklahoma,66.1751,65.0704,274,287
2130,Chicago State,7.394372631296058,288,30,WAC,Chicago St.,66.9022,65.6478,248,257
179,St. Bonaventure,7.379734211486736,289,3,A10,St. Bonaventure,66.2479,65.737,272,254
13,Cal Poly,7.379562511736699,290,9,Big West,Cal Poly,65.0334,64.6377,325,314
23,San José State,7.376511379803951,291,44,MWC,San Jose St.,65.8011,65.3585,294,269
2046,Austin Peay,7.37296910775886,292,20,OVC,Austin Peay,65.8389,64.6405,291,313
322,Lafayette,7.34973995100824,293,22,Patriot League,Lafayette,65.6608,64.7531,298,303
2382,Mercer,7.344664192801194,294,24,Southern,Mercer,65.5253,64.6794,306,309
2429,Charlotte,7.336307949742345,295,11,Conference USA,Charlotte,66.621,65.4552,261,266
399,Albany,7.314143648010433,296,1,American East,Albany,65.8294,65.15,292,282
2296,Jackson State,7.29691286414089,297,26,SWAC,Jackson St.,65.9232,63.7463,288,337
2335,Liberty,7.28082327831739,298,46,ASUN,Liberty,65.9817,65.2756,284,273
